transaction_amount,transaction_time,customer_age,distance_from_home,previous_fraud_history,merchant_risk_score,num_transactions_last_24hrs,account_type,region,transaction_method,fraud_label
25.47,5,48,18.06,0,0.57,3,Savings,East,Mobile Banking,0
249.83,21,39,52.99,1,0.26,2,Current,North,Online,1
286.08,21,23,0.38,1,0.85,2,Current,Central,Online,1
164.78,4,37,4.54,0,0.77,2,Savings,East,Mobile Banking,0
294.78,2,38,11.95,0,0.15,0,Savings,East,Online,0
136.16,1,27,14.49,0,0.87,3,Current,East,Online,0
147.94,2,36,4.81,0,0.96,4,Savings,West,POS,0
111.56,8,52,26.3,0,0.54,2,Savings,South,Online,0
5.15,18,43,2.69,0,0.04,3,Savings,Central,Mobile Banking,0
22.83,18,24,0.01,0,0.92,3,Savings,West,POS,0
6.39,16,54,45.67,1,0.12,2,Savings,Central,Online,1
202.35,17,25,7.45,0,0.63,8,Current,West,Online,0
75.48,10,22,47.37,0,0.4,2,Current,East,Online,0
142.09,11,61,4.88,1,0.99,4,Current,South,ATM,0
476.25,2,53,0.98,0,0.92,5,Current,North,POS,0
57.35,17,68,22.21,0,0.78,2,Savings,Central,Online,0
105.66,23,45,27.1,0,0.2,3,Savings,Central,ATM,0
281.75,5,67,10.16,0,0.7,6,Savings,South,Mobile Banking,0
51.96,6,20,1.15,0,0.57,5,Savings,West,POS,0
16.02,0,56,15.93,0,0.14,4,Savings,Central,Mobile Banking,0
68.43,5,25,3.02,0,0.79,3,Savings,South,POS,0
35.16,17,32,28.4,0,0.09,3,Savings,East,Online,0
530.99,12,70,4.8,0,0.48,3,Savings,North,Mobile Banking,0
330.18,21,44,28.23,0,0.43,6,Savings,South,Online,0
200.7,18,66,8.35,0,0.81,5,Savings,North,ATM,0
410.3,6,68,13.61,0,0.43,4,Current,South,POS,0
325.59,18,53,23.38,0,0.69,2,Savings,Central,Online,0
41.3,8,33,0.62,0,0.48,4,Current,South,Online,0
446.16,2,43,25.82,0,0.58,3,Savings,North,POS,0
155.02,22,62,2.24,0,0.24,2,Savings,South,ATM,0
329.47,11,61,6.66,0,0.2,4,Savings,East,Online,0
452.85,19,21,9.6,0,0.71,5,Savings,West,Mobile Banking,0
76.55,23,29,33.87,0,0.12,1,Savings,West,ATM,0
23.32,17,34,0.34,0,0.18,3,Current,Central,POS,0
51.74,7,58,12.29,0,0.94,5,Current,East,POS,0
111.41,8,61,15.43,0,0.25,0,Savings,East,ATM,0
340.77,12,43,5.71,0,0.32,2,Savings,West,Mobile Banking,0
394.27,7,48,5.15,0,0.63,3,Savings,South,Mobile Banking,0
1.4,21,32,10.11,1,0.44,3,Savings,Central,Mobile Banking,0
142.98,9,69,3.11,0,0.56,2,Current,South,Online,0
108.05,16,51,9.47,0,0.14,4,Savings,West,Mobile Banking,0
50.23,6,46,21.72,0,0.67,1,Savings,South,ATM,0
25.54,16,26,28.0,0,0.16,2,Savings,East,POS,0
82.38,22,31,7.3,0,0.75,1,Savings,Central,Online,0
572.62,17,53,14.41,0,0.52,6,Business,West,Online,0
78.08,23,21,0.0,0,0.82,2,Savings,West,POS,0
146.29,1,55,11.99,0,0.17,0,Business,North,ATM,0
242.82,2,73,55.48,1,0.38,2,Current,North,ATM,0
90.39,18,54,5.62,0,0.85,2,Savings,West,POS,0
713.56,0,41,13.55,0,0.8,1,Current,South,ATM,0
656.4,20,34,21.55,0,0.97,8,Savings,North,POS,0
58.01,20,30,14.08,0,0.22,0,Savings,West,POS,0
137.53,9,37,8.13,0,0.54,4,Savings,East,Online,0
71.59,20,34,2.48,0,0.02,4,Savings,North,Online,0
67.05,13,68,9.35,1,0.97,4,Savings,North,ATM,0
7.52,12,44,5.24,0,0.18,1,Current,Central,Online,0
188.1,8,72,17.86,0,0.9,4,Current,North,Mobile Banking,0
139.7,5,50,8.75,0,0.68,5,Savings,East,Online,0
10.57,5,38,28.44,0,0.94,1,Current,South,POS,0
65.33,18,34,3.22,0,0.25,7,Current,North,Online,0
477.77,20,39,8.11,0,0.35,2,Savings,East,Online,0
54.77,9,42,12.23,0,0.16,2,Savings,Central,Online,0
31.31,22,20,2.02,0,0.42,1,Savings,North,ATM,0
134.45,2,44,13.3,0,0.95,3,Current,North,POS,0
848.81,17,44,5.16,0,0.57,3,Current,South,ATM,0
55.43,20,63,3.91,0,0.42,5,Savings,North,ATM,0
223.03,18,29,2.3,0,0.32,2,Savings,South,Online,0
286.78,4,32,6.46,0,0.58,1,Savings,East,Online,0
54.27,10,55,39.67,0,0.72,1,Business,Central,Mobile Banking,0
260.55,9,37,0.47,0,0.41,3,Current,South,Online,0
91.7,16,39,28.67,0,0.23,3,Savings,North,Online,0
200.1,3,19,7.6,0,0.59,1,Current,South,Mobile Banking,0
200.77,20,21,12.37,0,0.37,2,Current,South,POS,0
153.48,17,62,10.79,0,0.99,1,Savings,North,Mobile Banking,0
18.93,17,30,39.0,0,0.44,0,Savings,West,ATM,0
360.73,0,72,22.05,0,0.43,5,Business,West,Mobile Banking,0
77.36,13,49,62.82,0,0.84,6,Current,Central,ATM,0
41.29,7,39,23.73,1,0.25,1,Current,West,Online,0
8.33,1,42,5.26,0,0.07,3,Business,South,ATM,0
178.76,18,44,49.41,0,0.85,3,Current,East,Online,1
226.37,14,72,61.63,0,0.59,0,Current,Central,Online,0
3.35,1,34,1.97,0,0.26,3,Savings,West,Online,0
143.53,3,23,34.7,0,0.34,2,Savings,North,Online,0
51.36,0,60,16.37,0,0.43,4,Savings,West,Online,0
207.22,18,68,38.26,0,0.68,5,Savings,South,POS,0
38.32,20,33,37.11,0,0.47,2,Current,East,Mobile Banking,0
234.84,9,25,33.3,1,0.4,5,Savings,West,Online,1
97.79,0,50,32.48,0,0.78,4,Business,East,Mobile Banking,1
552.07,19,27,1.88,0,0.07,3,Savings,North,POS,0
29.59,21,51,2.32,0,0.65,6,Savings,South,ATM,0
83.43,14,36,1.88,0,0.45,1,Current,South,Online,0
24.09,3,31,1.43,0,0.33,7,Savings,North,Mobile Banking,0
517.24,6,20,6.54,0,0.93,1,Savings,West,POS,0
419.67,6,72,17.28,0,0.78,5,Savings,South,Online,0
59.67,21,73,6.57,0,0.22,1,Savings,East,POS,0
215.75,17,58,19.11,0,0.65,5,Current,North,POS,0
339.9,12,40,25.75,0,0.82,7,Current,Central,POS,0
162.03,9,57,16.46,1,0.99,2,Savings,Central,Online,1
150.86,23,28,9.39,0,0.7,3,Savings,West,Online,0
55.38,7,64,5.25,0,0.69,4,Savings,East,POS,0
19.55,9,23,1.99,0,0.61,2,Current,North,POS,0
455.02,13,51,10.21,1,0.04,1,Savings,West,ATM,0
461.35,13,18,19.07,0,0.59,1,Savings,West,Mobile Banking,0
200.53,19,52,11.92,0,0.81,2,Business,North,Online,1
82.81,21,42,19.17,0,0.4,6,Savings,West,POS,0
85.91,10,46,6.12,1,0.59,6,Savings,West,POS,0
258.89,5,40,1.04,0,0.93,4,Savings,South,POS,0
454.82,20,35,22.12,0,0.17,6,Current,Central,ATM,0
436.23,0,31,3.72,0,0.28,3,Savings,East,POS,0
302.71,18,34,14.37,0,0.11,2,Current,Central,Online,0
205.46,6,19,24.47,0,0.5,1,Savings,North,POS,0
17.58,23,48,2.25,0,0.84,4,Current,Central,ATM,0
35.26,17,36,13.69,0,0.44,6,Savings,Central,Mobile Banking,0
457.65,2,49,17.54,0,0.07,3,Savings,Central,Online,0
186.5,19,71,20.59,1,0.26,2,Savings,South,POS,0
1.85,10,45,2.4,0,0.89,2,Savings,Central,Online,0
21.4,4,58,26.15,0,0.56,2,Savings,Central,Online,0
217.83,18,25,1.48,0,0.91,3,Savings,Central,POS,0
1.01,20,59,11.0,0,0.83,5,Business,North,Online,1
35.06,23,58,8.79,0,0.41,2,Current,East,Online,0
159.14,23,57,3.76,1,0.63,2,Savings,Central,Mobile Banking,0
235.46,1,56,5.39,0,0.66,3,Current,South,POS,0
211.09,21,39,2.69,0,0.75,5,Business,North,Mobile Banking,0
50.79,3,41,8.32,0,0.33,5,Savings,West,Online,0
249.08,9,55,0.54,1,0.29,2,Current,West,Online,0
54.16,1,19,32.96,1,0.68,4,Savings,South,Online,1
78.73,7,58,2.68,1,0.82,4,Savings,North,POS,0
274.47,0,58,32.58,0,0.41,2,Savings,West,ATM,0
209.75,5,36,29.88,0,0.32,1,Savings,East,POS,0
378.39,10,58,9.01,0,0.83,3,Savings,North,ATM,0
214.36,9,19,10.33,0,0.69,3,Current,Central,POS,0
168.01,12,45,5.39,0,0.34,2,Business,East,Online,0
19.67,0,49,86.52,0,0.53,3,Current,East,ATM,0
91.68,1,36,16.67,0,0.96,5,Savings,East,Online,0
61.63,2,33,45.49,0,0.75,5,Current,South,POS,0
55.94,8,47,8.04,0,0.22,2,Savings,South,Online,0
722.46,4,39,32.19,1,0.3,4,Savings,West,Online,2
99.88,9,31,8.92,0,0.27,2,Savings,West,POS,0
445.21,9,69,30.24,0,0.85,5,Current,West,Mobile Banking,0
199.47,11,73,2.1,0,0.64,5,Savings,South,POS,0
316.77,17,18,15.19,0,0.94,2,Current,North,POS,0
139.69,20,62,17.03,1,0.09,4,Savings,Central,ATM,0
172.03,20,71,16.01,0,0.05,6,Savings,Central,POS,0
135.66,0,19,8.89,0,0.68,3,Savings,North,Online,0
43.44,2,39,17.28,0,0.27,1,Savings,South,Online,0
256.35,4,63,4.11,0,0.68,4,Savings,Central,Online,0
65.92,16,50,13.59,0,0.72,2,Business,East,Mobile Banking,0
4.92,7,32,12.12,0,0.3,1,Savings,East,ATM,0
207.39,16,67,5.75,1,0.95,4,Savings,West,POS,0
38.99,8,58,22.63,0,0.77,1,Savings,West,Online,0
564.22,5,39,1.26,0,0.37,3,Savings,East,Online,0
615.51,16,57,2.82,0,0.41,8,Savings,North,POS,0
492.7,7,56,9.56,0,0.72,3,Savings,East,Online,0
92.46,20,58,33.35,0,0.3,4,Current,North,POS,0
3.12,6,58,12.84,0,0.3,4,Savings,East,POS,0
527.1,6,28,27.68,0,0.62,2,Current,North,Online,0
111.79,14,21,10.93,0,0.13,2,Savings,South,Mobile Banking,0
680.17,6,24,23.09,0,0.99,2,Savings,South,Online,0
662.75,21,38,5.91,0,0.29,2,Savings,South,POS,0
383.48,7,24,25.32,0,0.38,5,Savings,South,Mobile Banking,0
69.76,8,21,7.7,0,0.22,2,Savings,North,Online,0
97.26,14,29,12.27,0,0.64,1,Current,East,POS,0
380.95,1,44,2.9,0,0.06,1,Business,North,POS,0
76.23,6,34,37.97,0,0.93,5,Current,South,Mobile Banking,0
37.14,14,37,18.13,0,0.3,2,Current,Central,Mobile Banking,0
162.75,17,48,29.37,0,0.93,0,Business,West,Mobile Banking,0
550.26,21,43,3.5,0,0.25,0,Savings,North,POS,0
238.17,17,48,1.05,0,0.51,1,Business,South,Online,0
168.82,9,52,6.17,0,0.7,3,Savings,Central,Online,0
20.45,21,26,10.91,0,0.61,3,Current,West,ATM,0
190.91,17,22,24.32,0,0.51,4,Savings,North,POS,0
922.11,0,69,7.61,0,0.79,5,Savings,West,Online,1
30.18,6,65,4.72,0,0.47,3,Business,East,POS,0
146.1,2,25,6.99,0,0.33,5,Business,West,ATM,0
419.72,13,38,18.24,0,0.72,4,Savings,North,Mobile Banking,0
270.01,11,33,6.15,0,0.94,2,Savings,Central,Online,0
238.81,13,68,58.07,0,0.6,2,Current,West,Online,0
242.46,3,33,2.89,0,0.28,2,Savings,West,POS,0
89.1,12,35,20.98,0,0.76,0,Savings,North,Online,0
69.51,15,64,13.34,0,0.76,1,Savings,East,Online,0
331.47,15,73,3.98,0,0.27,2,Savings,West,Online,0
332.27,21,45,21.01,0,0.38,5,Current,East,Online,0
403.59,4,35,8.9,0,0.14,1,Savings,Central,Mobile Banking,0
488.92,19,31,17.2,0,0.08,5,Savings,Central,ATM,0
143.22,5,73,16.28,1,0.81,3,Savings,South,Online,1
139.24,5,65,1.76,0,0.37,3,Savings,East,POS,0
320.19,17,54,27.49,1,0.28,3,Business,East,POS,0
209.94,5,57,17.16,0,0.26,3,Savings,West,Mobile Banking,0
242.11,6,33,22.75,0,0.07,3,Savings,North,Online,0
317.72,23,38,8.91,0,0.98,1,Savings,North,Online,0
441.46,23,18,3.25,0,0.37,4,Savings,Central,Mobile Banking,0
82.5,15,28,5.92,0,0.16,3,Current,East,POS,0
94.19,8,28,34.76,0,0.86,3,Savings,Central,ATM,0
19.74,12,19,41.71,0,0.72,3,Savings,East,Online,0
172.68,11,49,9.86,0,0.66,3,Current,East,Online,0
7.32,18,71,5.32,0,0.3,6,Savings,Central,Mobile Banking,0
125.32,22,36,19.66,1,0.42,3,Savings,East,POS,0
156.46,22,73,21.79,0,0.84,1,Current,West,ATM,0
67.53,0,22,25.35,0,0.64,0,Savings,East,Online,0
178.73,7,20,0.47,1,0.35,2,Savings,South,Online,0
6.2,3,45,0.15,0,0.11,4,Savings,East,Online,0
7.61,20,43,6.63,0,0.9,0,Savings,North,ATM,0
345.87,21,40,2.48,0,0.96,5,Savings,South,Online,0
89.32,18,47,24.52,0,0.72,3,Savings,West,POS,0
27.18,20,25,11.42,1,0.69,4,Current,East,Online,0
147.73,4,53,26.17,0,0.54,3,Business,Central,POS,0
293.93,16,46,2.92,0,0.97,5,Current,Central,POS,0
48.62,2,30,14.8,0,0.69,3,Savings,South,Online,0
195.04,18,42,13.02,0,0.08,5,Savings,West,POS,0
17.84,0,39,6.24,0,0.09,4,Savings,East,POS,0
10.61,22,63,10.92,0,0.96,1,Current,West,ATM,0
151.58,0,50,13.34,0,0.94,6,Business,North,ATM,0
155.58,22,54,33.04,0,0.56,2,Savings,South,Online,0
202.91,19,70,0.86,0,0.21,9,Current,North,Online,0
258.99,8,24,26.01,0,0.58,4,Current,South,POS,0
744.71,22,40,58.8,0,0.76,3,Savings,Central,POS,1
145.26,4,23,19.74,0,0.01,3,Savings,West,Mobile Banking,0
78.0,6,32,20.05,0,0.82,2,Current,West,Online,0
317.13,5,32,3.69,0,0.46,2,Savings,West,POS,0
63.17,16,57,11.11,0,0.46,1,Savings,North,Online,0
115.6,21,51,18.36,0,0.43,1,Savings,East,Online,0
16.34,16,31,13.83,0,0.69,1,Current,East,POS,0
5.14,12,46,7.3,0,0.21,3,Savings,North,POS,0
657.48,11,33,42.23,0,0.61,2,Savings,Central,Online,0
361.55,3,46,10.82,0,0.04,4,Savings,East,Online,0
238.13,7,40,52.54,0,0.81,0,Business,Central,Online,2
105.17,4,27,12.45,0,0.82,3,Savings,West,Online,0
38.06,4,64,23.65,0,0.31,0,Savings,North,Online,0
34.02,12,72,20.32,0,0.11,4,Current,West,ATM,0
57.6,10,21,16.22,0,0.75,2,Savings,West,POS,0
159.36,7,29,0.22,0,0.47,1,Current,Central,ATM,0
250.77,7,59,1.21,1,0.92,4,Savings,East,ATM,0
215.88,0,51,13.07,1,0.35,3,Business,North,Online,1
65.68,12,21,36.42,0,0.84,1,Savings,North,Online,1
619.62,4,37,13.79,0,0.03,1,Savings,South,Online,0
267.8,20,45,4.04,0,0.77,3,Savings,East,Mobile Banking,0
161.65,7,45,5.79,0,0.68,1,Current,West,ATM,0
189.21,16,23,14.64,0,0.53,5,Savings,East,Online,0
108.81,22,31,13.63,1,0.91,3,Savings,Central,Online,1
56.93,22,72,46.75,0,0.94,2,Savings,North,POS,0
88.0,12,52,11.3,1,0.93,6,Savings,West,POS,0
283.64,8,64,6.58,0,0.6,5,Savings,East,Mobile Banking,0
2.9,1,18,11.17,0,0.52,5,Current,East,Online,0
24.68,18,36,23.14,0,0.27,2,Savings,Central,Mobile Banking,0
9.42,19,74,11.66,0,0.16,1,Savings,Central,Mobile Banking,0
8.32,16,18,5.92,0,0.56,4,Current,West,POS,0
386.84,6,30,6.2,0,0.15,1,Savings,West,Online,0
243.25,2,25,21.21,0,0.17,8,Savings,South,POS,0
128.56,18,35,1.03,0,0.36,3,Current,North,POS,0
20.59,18,71,4.82,0,0.19,3,Savings,South,Online,0
135.3,23,52,2.49,0,0.5,8,Savings,South,Mobile Banking,0
128.29,8,40,43.42,0,0.66,5,Savings,East,POS,0
38.04,9,67,1.42,0,0.7,3,Business,East,POS,0
113.78,13,69,21.29,0,0.53,0,Savings,West,POS,0
101.67,17,43,14.93,0,0.52,1,Savings,East,POS,0
191.34,14,58,15.03,1,0.47,6,Business,East,Online,1
201.62,0,55,21.62,0,0.25,0,Savings,North,ATM,0
9.27,5,37,7.67,0,0.65,5,Savings,East,Online,0
93.88,14,19,7.68,0,0.66,6,Savings,Central,ATM,0
196.62,5,43,5.11,0,0.26,2,Current,West,Online,0
139.89,17,74,13.66,0,0.7,0,Savings,North,Online,0
388.27,0,53,39.85,0,0.86,2,Savings,South,Online,1
214.99,23,42,38.65,0,0.59,3,Savings,Central,POS,0
35.57,2,47,18.21,0,0.12,2,Savings,Central,POS,0
14.64,16,35,35.5,0,0.33,4,Current,South,POS,0
205.68,15,24,49.66,0,0.09,4,Savings,Central,POS,0
5.37,7,44,23.78,0,0.3,2,Savings,East,ATM,0
176.27,16,28,7.86,0,0.21,1,Current,West,Online,0
563.45,7,54,9.9,0,0.55,3,Business,Central,Online,0
171.36,16,25,40.16,0,0.42,3,Savings,South,Online,0
98.26,8,28,16.63,0,0.72,2,Savings,North,Online,0
206.17,11,41,25.78,0,0.36,1,Savings,East,Online,0
122.59,18,47,1.85,0,0.15,2,Savings,East,Mobile Banking,0
157.76,3,47,3.23,0,0.24,0,Savings,East,POS,0
567.63,20,69,6.33,0,0.55,1,Current,Central,POS,0
97.59,21,69,3.13,0,0.45,1,Savings,South,ATM,0
649.82,10,32,35.54,0,0.04,4,Savings,North,Online,0
471.52,3,73,3.67,0,0.21,1,Savings,North,Mobile Banking,0
43.58,13,52,12.22,0,0.3,5,Current,East,POS,0
14.38,13,56,1.34,0,0.73,3,Current,East,POS,0
21.25,5,41,2.53,0,0.73,7,Current,Central,Online,0
3.68,16,25,4.26,0,0.7,2,Current,North,POS,0
19.84,1,60,61.02,0,0.82,3,Savings,West,Online,1
229.77,7,59,23.92,0,0.87,1,Current,South,Online,0
14.77,3,37,16.79,0,0.07,2,Savings,North,Online,0
76.83,9,58,37.2,0,0.49,4,Current,South,ATM,0
372.71,6,64,46.92,0,0.15,5,Savings,West,Mobile Banking,0
4.71,3,43,9.07,0,0.35,3,Savings,North,POS,0
336.91,15,69,5.96,0,0.66,2,Savings,South,Mobile Banking,0
66.22,13,41,5.68,0,0.6,4,Savings,East,Mobile Banking,0
25.15,15,39,0.55,0,0.13,4,Savings,North,POS,0
238.63,8,22,4.92,0,0.76,4,Current,West,Online,0
198.28,3,32,6.58,0,0.79,4,Current,South,Online,0
419.88,23,53,0.56,0,0.14,2,Savings,North,POS,0
265.66,5,54,32.13,0,0.62,5,Savings,West,POS,0
325.4,0,46,28.24,0,0.95,4,Current,East,Online,0
66.27,6,32,4.35,0,0.09,5,Savings,Central,Mobile Banking,0
39.07,0,44,24.33,0,0.16,4,Savings,East,Online,0
277.75,18,66,23.86,0,0.77,0,Business,North,ATM,0
328.84,7,72,6.12,0,0.34,2,Current,North,POS,0
931.4,2,25,17.91,1,0.96,4,Savings,Central,POS,1
106.42,0,74,5.13,0,0.62,0,Current,Central,POS,0
93.05,0,46,1.09,0,0.48,6,Savings,South,POS,0
299.59,6,36,10.54,0,0.34,6,Current,Central,POS,0
83.35,20,48,8.65,0,0.24,4,Savings,Central,POS,0
534.03,12,26,2.23,0,0.65,2,Savings,Central,POS,0
390.97,0,27,10.12,0,0.59,3,Savings,East,Mobile Banking,0
112.07,15,54,44.75,0,0.36,4,Savings,South,Online,0
277.96,21,27,19.72,0,0.92,5,Current,Central,Online,0
280.93,21,71,20.14,0,0.76,2,Current,South,Online,0
21.77,13,50,21.25,0,0.26,3,Savings,Central,Mobile Banking,0
465.69,3,42,20.48,0,0.94,2,Business,South,POS,0
140.74,22,74,0.3,0,0.76,2,Current,South,Mobile Banking,0
350.27,22,71,38.79,0,0.9,3,Business,Central,ATM,1
77.15,11,73,26.59,0,0.14,2,Savings,Central,Online,0
451.76,11,21,4.82,0,0.03,1,Savings,South,POS,0
98.6,16,70,12.07,0,0.49,1,Current,North,Online,0
2.18,20,22,14.32,0,0.45,5,Savings,South,POS,0
471.58,14,40,2.12,0,0.87,5,Savings,East,Online,0
19.15,9,56,4.39,0,0.17,1,Savings,West,POS,0
76.93,2,72,0.35,0,0.02,6,Savings,South,POS,0
599.39,22,22,29.92,0,0.53,1,Savings,South,Online,0
601.59,19,69,0.38,0,0.18,2,Current,North,ATM,0
170.4,19,25,5.76,0,0.05,0,Savings,Central,POS,0
199.85,11,34,1.22,0,0.02,4,Savings,North,Mobile Banking,0
119.0,0,18,22.81,0,0.14,1,Savings,North,Online,0
69.4,0,71,38.85,0,0.38,2,Savings,North,ATM,0
79.7,9,67,12.41,0,0.88,7,Savings,North,Online,0
223.26,17,29,2.25,0,0.76,3,Business,North,POS,0
279.17,14,52,12.25,1,0.53,3,Current,South,ATM,0
313.64,1,69,22.07,0,0.43,1,Savings,West,ATM,0
311.77,16,31,19.01,0,0.46,7,Savings,North,POS,0
19.13,7,65,20.31,1,0.88,7,Business,North,POS,1
136.41,21,35,4.91,0,0.72,2,Current,North,ATM,0
11.86,21,27,1.15,1,0.17,5,Savings,Central,POS,0
159.49,8,72,2.42,0,0.94,4,Savings,Central,ATM,0
116.51,20,32,46.69,1,0.77,7,Current,South,POS,1
437.32,19,59,14.26,0,0.03,3,Savings,East,Online,0
86.44,10,50,19.52,0,0.5,10,Current,South,ATM,0
24.9,5,36,34.4,0,0.65,2,Savings,North,Online,0
30.86,23,51,28.73,1,0.06,5,Current,Central,Mobile Banking,0
286.69,13,62,3.7,0,0.35,4,Savings,Central,Online,0
192.58,0,42,0.9,0,0.65,3,Business,East,Online,0
21.32,6,33,38.88,0,0.82,2,Savings,East,Online,1
17.57,23,25,59.99,0,0.98,2,Current,East,Online,1
241.44,8,52,12.57,0,0.12,3,Current,North,POS,0
